r_hist_0,r_hist_1,r_hist_2,r_hist_3,r_hist_4,r_hist_5,r_hist_6,r_hist_7,r_hist_8,r_hist_9,r_hist_10,r_hist_11,r_hist_12,r_hist_13,r_hist_14,r_hist_15,g_hist_0,g_hist_1,g_hist_2,g_hist_3,g_hist_4,g_hist_5,g_hist_6,g_hist_7,g_hist_8,g_hist_9,g_hist_10,g_hist_11,g_hist_12,g_hist_13,g_hist_14,g_hist_15,b_hist_0,b_hist_1,b_hist_2,b_hist_3,b_hist_4,b_hist_5,b_hist_6,b_hist_7,b_hist_8,b_hist_9,b_hist_10,b_hist_11,b_hist_12,b_hist_13,b_hist_14,b_hist_15,haralick_contrast,haralick_dissimilarity,haralick_homogeneity,haralick_energy,haralick_correlation,hu_moment_0,hu_moment_1,hu_moment_2,hu_moment_3,hu_moment_4,hu_moment_5,hu_moment_6,image_path,label,split
0.0,0.0,0.0,0.0,0.0,10.0,27.0,162.0,802.0,2361.0,5737.0,15864.0,23200.0,237.0,0.0,0.0,0.0,0.0,0.0,78.0,536.0,1305.0,2280.0,3057.0,2899.0,7321.0,16540.0,13369.0,1015.0,0.0,0.0,0.0,0.0,0.0,5.0,181.0,595.0,1263.0,2227.0,3125.0,3386.0,6643.0,11585.0,12495.0,6844.0,51.0,0.0,0.0,24.647820672478208,3.495101701951017,0.2835768852571795,0.03733270365189677,0.9782464307583875,0.0010360416674323318,3.669497315183394e-11,3.7226069228458994e-13,2.562121246217712e-13,-2.674385275340618e-26,-1.5113495325805342e-18,7.447014523184635e-26,ISIC_0031692_orig.jpg,akiec,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,203.0,627.0,2801.0,14321.0,24008.0,6383.0,35.0,0.0,0.0,0.0,0.0,32.0,154.0,486.0,1554.0,5126.0,9491.0,12460.0,12744.0,5603.0,681.0,58.0,11.0,0.0,0.0,1.0,39.0,191.0,471.0,787.0,1559.0,3084.0,7619.0,11382.0,12834.0,7900.0,2126.0,315.0,55.0,37.0,29.58806558738065,3.8029265255292652,0.25486439262302774,0.032034445413522766,0.9610403169892099,0.0010035827989472927,4.3348287793636505e-10,1.6314908918113367e-13,4.4391535623507933e-13,8.538487353988806e-26,-8.730044388579742e-18,-8.355497576045056e-26,ISIC_0033413_orig.jpg,akiec,0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,299.0,2289.0,9287.0,27508.0,8765.0,247.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,337.0,1859.0,6591.0,14378.0,16374.0,7727.0,930.0,159.0,33.0,0.0,0.0,0.0,0.0,0.0,6.0,130.0,468.0,968.0,2118.0,6434.0,15330.0,14941.0,7134.0,556.0,248.0,66.0,1.0,0.0,20.736674968866748,3.1386674968866752,0.2953340011073029,0.0390117833281766,0.9574638946607574,0.0011647856067132636,2.660411730704946e-10,1.257758657124207e-14,9.028510918238569e-14,3.0374172941075192e-27,-1.6011796842100457e-19,-1.748501543425181e-28,ISIC_0032356_orig.jpg,akiec,0
144.0,104.0,118.0,144.0,175.0,183.0,238.0,310.0,374.0,573.0,1328.0,4121.0,11048.0,20959.0,8573.0,8.0,309.0,166.0,210.0,263.0,346.0,466.0,874.0,2827.0,8939.0,11871.0,11271.0,8850.0,1926.0,82.0,0.0,0.0,361.0,238.0,241.0,334.0,409.0,672.0,1880.0,5213.0,7780.0,10103.0,9011.0,8065.0,3393.0,630.0,67.0,3.0,259.1350145288502,7.3053341635533435,0.22044065946688784,0.028177840910083574,0.8410639975512896,0.0009846658584382853,1.8557189858718473e-09,2.267303199834271e-12,4.87535186629059e-13,4.927620509534096e-25,-8.818157713291715e-18,-1.4116071814738379e-25,ISIC_0027254_orig.jpg,akiec,0
0.0,0.0,0.0,0.0,0.0,6.0,20.0,19.0,109.0,540.0,2592.0,9208.0,25074.0,10832.0,0.0,0.0,0.0,0.0,12.0,48.0,249.0,1348.0,3930.0,5432.0,6573.0,10787.0,14386.0,5587.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,75.0,252.0,1138.0,4240.0,5945.0,7283.0,10436.0,12639.0,6210.0,170.0,0.0,40.16102117061022,3.8142382731423834,0.2776297680948874,0.034513622885278136,0.9570961610632938,0.0010548838488537576,1.1317862248596748e-10,3.563386255115791e-13,4.4366714870736434e-14,1.7567896533127886e-27,4.1126048610941324e-20,5.294652127296479e-27,ISIC_0030158_orig.jpg,akiec,0
0.0,1.0,61.0,436.0,569.0,650.0,941.0,1510.0,1912.0,2422.0,3031.0,3132.0,3562.0,8557.0,21616.0,0.0,257.0,1218.0,1805.0,2230.0,2467.0,2442.0,2177.0,2146.0,1794.0,2042.0,2619.0,5674.0,17815.0,3714.0,0.0,0.0,0.0,886.0,2121.0,2868.0,2947.0,2473.0,1896.0,1659.0,1796.0,2035.0,2834.0,5211.0,14474.0,6989.0,211.0,0.0,40.907513491075136,3.9711498547114985,0.3003628463847415,0.042166513787933305,0.9927386423050366,0.0011372517407006737,4.207135212558019e-10,1.4613918753999922e-13,1.5310056610401753e-12,2.323309929848471e-25,-3.1402720001185097e-17,6.859036686627093e-25,ISIC_0027303_orig.jpg,akiec,0
0.0,0.0,0.0,0.0,0.0,12.0,42.0,268.0,942.0,1970.0,4048.0,8023.0,11075.0,12962.0,8451.0,607.0,0.0,0.0,16.0,57.0,430.0,1501.0,2879.0,4852.0,8434.0,8029.0,7650.0,10318.0,4226.0,8.0,0.0,0.0,0.0,4.0,12.0,99.0,476.0,1105.0,2239.0,3820.0,6424.0,8647.0,7282.0,6464.0,7793.0,3643.0,392.0,0.0,30.798920713989208,3.8946450809464506,0.2614215347604867,0.026749250298979697,0.9814120927214237,0.000977382565864035,2.010067196591101e-09,4.4232967118407836e-12,2.9452475903633124e-12,9.17817653952875e-24,-4.8110852578546925e-17,-5.363737216854758e-24,ISIC_0027172_orig.jpg,akiec,0
0.0,2.0,15.0,39.0,51.0,77.0,122.0,211.0,348.0,525.0,910.0,4384.0,39370.0,2346.0,0.0,0.0,7.0,35.0,54.0,95.0,197.0,390.0,1281.0,4471.0,7750.0,13940.0,16094.0,4086.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,62.0,129.0,332.0,1133.0,2261.0,4469.0,7048.0,7093.0,10580.0,11850.0,3009.0,407.0,0.0,12.573080116230802,2.4773557492735576,0.3482375460586554,0.04642414564704708,0.9803546487024466,0.0010024901862787693,1.5483168937325947e-10,4.895343147659851e-13,2.4918967358595664e-13,6.779419673395352e-26,3.02537080280538e-18,5.45782318684115e-26,ISIC_0028763_orig.jpg,akiec,0
0.0,0.0,26.0,56.0,70.0,142.0,280.0,981.0,1757.0,3087.0,4512.0,8944.0,16369.0,10305.0,1871.0,0.0,57.0,239.0,248.0,737.0,1360.0,2124.0,3006.0,4556.0,6416.0,9620.0,10702.0,6716.0,2534.0,77.0,8.0,0.0,53.0,319.0,256.0,699.0,1138.0,1981.0,3029.0,4079.0,5577.0,7996.0,10163.0,8397.0,4172.0,517.0,23.0,1.0,80.41548360315484,5.844831880448319,0.19683260513779302,0.02283390864781287,0.9617097467616545,0.0010633140790031897,1.546659932562006e-09,7.258405674006361e-13,7.553706968695433e-13,3.4441960031369514e-25,-1.3901223319750156e-17,-4.406979438880281e-25,ISIC_0032349_orig.jpg,akiec,0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,44.0,30.0,56.0,76.0,116.0,8911.0,39149.0,10.0,0.0,0.0,0.0,2.0,40.0,37.0,29.0,129.0,397.0,3185.0,8583.0,21344.0,14654.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,36.0,33.0,170.0,514.0,1307.0,5452.0,11448.0,26529.0,2880.0,0.0,0.0,0.0,30.246471564964722,1.9967828974678294,0.4907006323783424,0.07847699641598367,0.8782226020776754,0.0008644800139201445,1.506620916463014e-10,1.4229700942414684e-14,2.872575383554984e-14,5.803639140571285e-28,2.7607490270489765e-19,-2.1745381073830961e-29,ISIC_0027047_orig.jpg,akiec,0
